Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
84.765, -51.8896, 52.5, 573, -730.5
83.2815, -52.0603, 67.5, 573, -735
84.2894, -52.3753, 57, 570, -739.5
84.8467, -52.5385, 51, 565.5, -738
90.1574, -53.1112, -1.5, 546, -727.5
119.598, -58.4593, -250.5, 441, -718.5
148.864, -70.2135, -439.5, 265.5, -738
161.845, -76.237, -553.5, 181.5, -741
163.957, -77.4347, -579, 166.5, -747
163.032, -76.456, -585, 178.5, -741
162.99, -76.4296, -583.5, 178.5, -739.5
162.969, -75.9916, -592.5, 181.5, -727.5
163.571, -76.6342, -585, 172.5, -726
162.754, -76.0462, -589.5, 183, -736.5
162.805, -76.0192, -586.5, 181.5, -729
163.327, -76.3797, -591, 177, -730.5
162.579, -75.7411, -588, 184.5, -726
163.476, -76.7075, -586.5, 174, -736.5
162.538, -75.9363, -586.5, 184.5, -736.5
163.65, -76.7921, -588, 172.5, -735
162.877, -75.9638, -594, 183, -732
163.009, -76.0468, -594, 181.5, -730.5
162.763, -76.1561, -585, 181.5, -736.5
162.68, -75.9358, -582, 181.5, -724.5
163.142, -76.3198, -594, 180, -739.5
163.02, -76.1577, -589.5, 180, -730.5
162.887, -75.9638, -589.5, 181.5, -726
162.979, -76.185, -588, 180, -732
163.02, -76.1577, -589.5, 180, -730.5
162.958, -75.9083, -597, 183, -729
163.393, -76.403, -598.5, 178.5, -738
162.897, -76.3198, -585, 180, -739.5
163.032, -76.4296, -585, 178.5, -739.5
163.287, -76.2712, -589.5, 177, -724.5
163.287, -76.5131, -589.5, 177, -738
163.26, -76.5706, -583.5, 175.5, -735
162.629, -75.9083, -585, 183, -729
163.314, -76.2687, -595.5, 178.5, -730.5
163.341, -76.7014, -586.5, 175.5, -742.5
163.009, -76.0743, -594, 181.5, -732
162.754, -76.0188, -589.5, 183, -735
162.928, -76.1832, -591, 181.5, -738
162.721, -76.129, -583.5, 181.5, -735
162.002, -75.3601, -591, 192, -735
163.327, -76.5131, -591, 177, -738
162.176, -75.4979, -592.5, 190.5, -736.5
163.806, -76.7136, -594, 172.5, -730.5
162.638, -76.0468, -580.5, 181.5, -730.5
163.09, -75.9078, -597, 181.5, -723
163.367, -76.2712, -592.5, 177, -724.5
163.182, -76.1303, -595.5, 180, -729
163.327, -76.2438, -591, 177, -723
162.721, -76.2101, -583.5, 181.5, -739.5
163.393, -76.1317, -598.5, 178.5, -723
163.881, -76.9367, -586.5, 169.5, -730.5
162.638, -76.1017, -580.5, 181.5, -733.5
163.673, -76.5222, -594, 174, -726
163.154, -76.2687, -589.5, 178.5, -730.5
162.671, -75.9638, -586.5, 183, -732
162.572, -75.8817, -592.5, 186, -739.5
163.113, -76.5086, -588, 178.5, -744
163.486, -76.4066, -597, 177, -732
162.446, -75.7149, -588, 186, -730.5
162.938, -76.3995, -586.5, 180, -744
162.453, -75.9638, -583.5, 184.5, -738
163.45, -76.818, -580.5, 172.5, -736.5
164.055, -77.0995, -588, 168, -733.5
162.404, -75.7988, -586.5, 186, -735
163.626, -76.9799, -582, 171, -739.5
163.274, -76.3496, -594, 178.5, -735
163.166, -76.3797, -585, 177, -730.5
162.763, -76.129, -585, 181.5, -735
163.367, -76.4334, -592.5, 177, -733.5
162.805, -76.237, -586.5, 181.5, -741
163.421, -76.6232, -589.5, 175.5, -738
163.884, -76.8697, -597, 172.5, -739.5
163.447, -76.4866, -595.5, 177, -736.5
162.998, -76.0462, -598.5, 183, -736.5
163.465, -76.9029, -576, 171, -735
163.634, -76.7853, -592.5, 174, -741
162.897, -76.1577, -585, 180, -730.5
163.811, -76.597, -604.5, 175.5, -736.5
163.09, -75.9916, -597, 181.5, -727.5
163.516, -76.7075, -588, 174, -736.5
163.34, -76.2121, -601.5, 180, -733.5
163.341, -76.4909, -586.5, 175.5, -730.5
162.928, -76.1017, -591, 181.5, -733.5
163.436, -76.655, -585, 174, -733.5
162.713, -76.0462, -588, 183, -736.5
162.579, -75.9363, -588, 184.5, -736.5
163.182, -76.373, -595.5, 180, -742.5
163.407, -76.3257, -594, 177, -727.5
162.663, -75.9087, -591, 184.5, -735
163.287, -76.4334, -589.5, 177, -733.5
162.671, -75.9361, -586.5, 183, -730.5
163.02, -76.1028, -589.5, 180, -727.5
163.234, -76.3763, -592.5, 178.5, -736.5
162.795, -75.8804, -591, 183, -727.5
Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
166.736, -79.221, -604.5, 142.5, -748.5
168.198, -80.6109, -603, 126, -762
166.64, -79.3047, -600, 142.5, -754.5
167.426, -80.0243, -598.5, 133.5, -759
167.623, -80.1723, -601.5, 132, -762
166.542, -79.242, -595.5, 142.5, -750
166.336, -79.2105, -598.5, 145.5, -763.5
167.171, -79.6551, -606, 138, -756
167.152, -79.8636, -598.5, 136.5, -763.5
166.984, -79.715, -597, 138, -760.5
166.647, -79.4147, -594, 141, -754.5
166.198, -78.887, -604.5, 148.5, -756
167.047, -79.6952, -600, 138, -759
166.203, -79.1271, -592.5, 145.5, -757.5
167.098, -79.5856, -609, 139.5, -759
166.943, -79.5248, -601.5, 139.5, -754.5
166.434, -79.1271, -603, 145.5, -757.5
167.866, -80.2406, -600, 129, -750
167.426, -79.966, -598.5, 133.5, -754.5
166.943, -79.422, -601.5, 139.5, -747
167.027, -79.7253, -592.5, 136.5, -753
166.542, -79.3667, -595.5, 142.5, -759
166.943, -79.5452, -601.5, 139.5, -756
167.456, -79.9464, -600, 133.5, -753
168.061, -80.333, -603, 127.5, -748.5
167.456, -79.8245, -613.5, 136.5, -760.5
167.016, -79.5127, -598.5, 138, -745.5
167.047, -79.6952, -600, 138, -759
166.816, -79.5044, -595.5, 139.5, -753
167.227, -79.816, -595.5, 135, -751.5
166.751, -79.3383, -592.5, 139.5, -741
166.88, -79.6257, -598.5, 139.5, -762
166.273, -79.0889, -589.5, 144, -747
167.609, -80.0905, -594, 130.5, -747
166.711, -79.3109, -597, 141, -747
166.614, -79.3318, -592.5, 141, -748.5
167.895, -80.2406, -601.5, 129, -750
165.964, -78.7121, -600, 150, -751.5
166.032, -78.7565, -597, 148.5, -747
167.593, -79.9986, -600, 132, -748.5
166.816, -79.4634, -595.5, 139.5, -750
166.575, -79.1786, -597, 142.5, -745.5
166.415, -79.3318, -583.5, 141, -748.5
166.236, -78.978, -594, 145.5, -747
167.729, -80.2062, -600, 130.5, -756
166.647, -79.2264, -594, 141, -741
167.364, -79.966, -595.5, 133.5, -754.5
167.183, -79.5625, -600, 136.5, -741
166.373, -79.1527, -594, 144, -751.5
167.258, -79.816, -597, 135, -751.5
166.542, -79.3047, -595.5, 142.5, -754.5
167.44, -79.9986, -592.5, 132, -748.5
168.156, -80.6864, -586.5, 123, -750
166.995, -79.8048, -591, 136.5, -759
167.674, -80.5559, -583.5, 127.5, -766.5
168.208, -80.9229, -582, 121.5, -760.5
168.719, -81.381, -579, 115.5, -762
169.175, -81.7441, -580.5, 111, -765
168.69, -81.3213, -585, 117, -766.5
168.547, -81.2368, -577.5, 117, -759
167.215, -80.3354, -568.5, 129, -757.5
167.202, -80.1871, -574.5, 130.5, -754.5
167.294, -80.4271, -565.5, 127.5, -756
167.967, -80.798, -570, 121.5, -750
166.42, -79.5044, -577.5, 139.5, -753
166, -79.4557, -565.5, 141, -757.5
166.801, -79.8636, -582, 136.5, -763.5
168.111, -80.9097, -570, 120, -750
166.885, -79.966, -573, 133.5, -754.5
165.786, -79.1948, -568.5, 144, -754.5
166.069, -79.3254, -574.5, 142.5, -756
165.999, -79.1738, -577.5, 144, -753
166.499, -79.7652, -568.5, 136.5, -756
165.575, -78.9322, -571.5, 147, -751.5
166.727, -79.492, -585, 138, -744
166.499, -79.7253, -568.5, 136.5, -753
166.608, -79.8358, -567, 135, -753
166.141, -79.4147, -571.5, 141, -754.5
166.809, -79.8556, -576, 135, -754.5
166.634, -79.785, -574.5, 136.5, -757.5
166.567, -79.7652, -571.5, 136.5, -756
165.716, -79.1898, -571.5, 145.5, -762
166.174, -79.3047, -579, 142.5, -754.5
165.471, -78.8654, -573, 148.5, -754.5
165.683, -78.8672, -576, 147, -747
165.964, -79.221, -570, 142.5, -748.5
165.823, -79.169, -576, 145.5, -760.5
166.776, -79.895, -574.5, 135, -757.5
166.809, -79.9728, -576, 135, -763.5
166.245, -79.4147, -576, 141, -754.5
166.21, -79.4557, -574.5, 141, -757.5
166.141, -79.4353, -571.5, 141, -756
166.248, -79.5248, -570, 139.5, -754.5
165.716, -79.0424, -571.5, 145.5, -751.5
166.809, -79.796, -576, 135, -750
166.567, -79.7453, -571.5, 136.5, -754.5
165.608, -78.9995, -567, 145.5, -748.5
165.3, -78.7335, -577.5, 151.5, -760.5
164.948, -78.5383, -574.5, 154.5, -762
166.213, -79.705, -568.5, 139.5, -768
166.104, -79.3667, -576, 142.5, -759
165.858, -79.1738, -571.5, 144, -753
165.33, -78.6458, -573, 150, -747
165.608, -79.021, -567, 145.5, -750
165.571, -79.0424, -565.5, 145.5, -751.5
166.072, -79.4634, -562.5, 139.5, -750
165.641, -79.1102, -562.5, 144, -748.5
166, -79.5654, -559.5, 139.5, -757.5
166.464, -79.8245, -567, 136.5, -760.5
165.68, -79.0637, -570, 145.5, -753
165.608, -79.0849, -567, 145.5, -754.5
166.895, -80.0958, -567, 132, -756
165.3, -78.6242, -577.5, 151.5, -753
166.141, -79.3941, -571.5, 141, -753
166.709, -79.9145, -571.5, 135, -759
166.675, -79.8753, -570, 135, -756
166.994, -80.0765, -571.5, 132, -754.5
166.213, -79.5654, -568.5, 139.5, -757.5
167.06, -80.2289, -574.5, 132, -766.5
166.035, -79.3941, -567, 141, -753
166.464, -79.8048, -567, 136.5, -759
166.213, -79.6456, -568.5, 139.5, -763.5
165.75, -79.2573, -567, 144, -759
166.994, -80.0571, -571.5, 132, -753
166.951, -80.101, -576, 133.5, -765
166.464, -79.6648, -567, 136.5, -748.5
166.464, -79.8245, -567, 136.5, -760.5
167.854, -80.777, -571.5, 123, -757.5
